  14 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterSubsysID: 2213103c, AdapterDriverVersion: 10.18.10.3408
  13 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 75921462, AdapterDriverVersion: 8.15.10.2302
  13 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 01331025, AdapterDriverVersion: 8.15.10.1749
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 30cc103c, AdapterDriverVersion: 8.15.10.1749
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3345
  12 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3347
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22921019, AdapterDriverVersion: 8.15.10.2869
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22601019, AdapterDriverVersion: 8.15.10.2869
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 110a1565, AdapterDriverVersion: 8.15.10.2869
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 14e21043, AdapterDriverVersion: 8.15.10.1749
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 011c1025, AdapterDriverVersion: 8.15.10.1749
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3347
  11 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 392017aa, AdapterDriverVersion: 8.15.10.2104
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 57568086, AdapterDriverVersion: 8.15.10.2555
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22921019, AdapterDriverVersion: 8.15.10.1872
  10 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dc2105b, AdapterDriverVersion: 8.15.10.2869
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e321849, AdapterDriverVersion: 8.15.10.2555
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.2869
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dc2105b, AdapterDriverVersion: 8.15.10.1968
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04001028, AdapterDriverVersion: 8.15.10.2869
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2413
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.1883
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 011f1025, AdapterDriverVersion: 8.15.10.1749
   9 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3347
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31351019, AdapterDriverVersion: 8.15.10.2869
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31351019, AdapterDriverVersion: 8.15.10.2555
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 31031565, AdapterDriverVersion: 8.15.10.1808
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e321849, AdapterDriverVersion: 8.15.10.2302
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2a8c103c, AdapterDriverVersion: 8.15.10.2040
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 110a1565, AdapterDriverVersion: 8.15.10.1808
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 043e1028, AdapterDriverVersion: 8.15.10.1995
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 19998086, AdapterDriverVersion: 8.15.10.1749
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 13f910cf, AdapterDriverVersion: 8.15.10.1749
   8 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 029a1028, AdapterDriverVersion: 8.15.10.1749
   8 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a23, AdapterSubsysID: 34f21458, AdapterDriverVersion: 8.17.11.9646
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 57568086, AdapterDriverVersion: 8.15.10.2302
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2702
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 01351025, AdapterDriverVersion: 8.15.10.1749
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 012b1025, AdapterDriverVersion: 8.15.10.1749
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3958
   7 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2618
