   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0614
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0404
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0193
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990f
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9904
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9807
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9710
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9647
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9498
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68d9
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68b8
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x67b1
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x67b0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x679a
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6719
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a1e
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0162
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13c0
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1381
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1287
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1243
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c0
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1087
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x100a
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dec
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dd1
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0cb1
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a7a
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a74
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a69
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06d8
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05e2
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0422
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0421
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9853
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9851
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9715
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x964a
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9649
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9648
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9644
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9643
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9641
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9616
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x954f
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9480
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e1
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68d8
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x689e
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6841
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6759
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6758
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6742
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6738
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x665c
   2 AdapterVendorID: 0x1002, AdapterDeviceID: 0x5a62
   1 AdapterVendorID: 0x8086, AdapterDeviceID: 0x161e
   1 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1606
   1 AdapterVendorID: 0x1106, AdapterDeviceID: 0x3371
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1284
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1251
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1245
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1213
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11e2
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11e0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11a1
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1185
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10d8
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c5
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1081
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1050
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ffa
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fd1
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc2
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc1
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0f01
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df4
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0df1
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0de5
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0de2
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0cbc
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca9
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a76
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a66
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a2d
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a2a
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a29
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a28
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0873
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0866
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x084b
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06ec
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06eb
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06e6
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x06c0
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0644
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0628
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0618
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0613
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0603
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05fe
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05e6
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0428
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0427
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x040e
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0407
   1 AdapterVendorID: 0x10de, AdapterDeviceID: 0x019e
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9992
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9991
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990d
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990a
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9907
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9901
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9804
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9645
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9640
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9612
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9611
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x95c5
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9598
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9591
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9552
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9505
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9501
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x94c1
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9442
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68da
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68c8
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68c0
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68ba
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68a1
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6840
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x683d
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6818
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x677b
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x675f
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x675d
   1 AdapterVendorID: 0x1002, AdapterDeviceID: 0x130f
