  39 Cisco VPN
  19 DriverVersionMismatch
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 1669103c, AdapterDriverVersion: 8.801.3.1000
   5 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6740, AdapterSubsysID: 1657103c, AdapterDriverVersion: 8.882.2.3000
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22601019, AdapterDriverVersion: 8.15.10.2702
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2869
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a02, AdapterSubsysID: 022f1028, AdapterDriverVersion: 8.15.10.1749
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x1616, AdapterSubsysID: 2295103c, AdapterDriverVersion: 10.18.10.3960
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 1946103c, AdapterDriverVersion: 9.18.10.3272
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.10.3186
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3412
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0416, AdapterSubsysID: 1965103c, AdapterDriverVersion: 10.18.10.3277
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterSubsysID: 04028086, AdapterDriverVersion: 10.18.14.4080
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 05971028, AdapterDriverVersion: 10.18.10.3958
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2875
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3282
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 77881462, AdapterDriverVersion: 9.17.10.2867
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.2884
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3412
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 397d17aa, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 3673103c, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 3672103c, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 06491025, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 04d71028, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterSubsysID: 04ca1028, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 06491025, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.17.10.3517
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterSubsysID: 04931025, AdapterDriverVersion: 9.17.10.3347
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 06011025, AdapterDriverVersion: 8.15.10.2900
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2622
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2189
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c0, AdapterSubsysID: 354e1458, AdapterDriverVersion: 9.18.13.4752
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca5, AdapterSubsysID: 34eb1458, AdapterDriverVersion: 8.17.12.8026
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca3, AdapterSubsysID: 213419da, AdapterDriverVersion: 9.18.13.3182
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a6c, AdapterSubsysID: 040a1028, AdapterDriverVersion: 8.17.12.5922
   4 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 22911462, AdapterDriverVersion: 9.18.13.4052
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e0, AdapterSubsysID: 1441103c, AdapterDriverVersion: 8.712.1.2000
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 3673103c, AdapterDriverVersion: 8.882.2.0
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 57568086, AdapterDriverVersion: 8.15.10.2869
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2869
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2555
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e12, AdapterSubsysID: 027f1028, AdapterDriverVersion: 8.15.10.2869
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 20e417aa, AdapterDriverVersion: 8.15.10.2555
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 02aa1028, AdapterDriverVersion: 8.15.10.2302
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 02601025, AdapterDriverVersion: 8.15.10.2555
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterSubsysID: 01431025, AdapterDriverVersion: 8.15.10.2281
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a12, AdapterSubsysID: 308a103c, AdapterDriverVersion: 8.15.10.1749
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterSubsysID: 2190103c, AdapterDriverVersion: 10.18.10.3309
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0f31, AdapterSubsysID: 14ed1043, AdapterDriverVersion: 10.18.10.3417
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 380c17aa, AdapterDriverVersion: 10.18.10.3960
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterSubsysID: 220d103c, AdapterDriverVersion: 10.18.10.3345
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterSubsysID: 00000000, AdapterDriverVersion: 10.18.10.3540
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0412, AdapterSubsysID: 05a41028, AdapterDriverVersion: 10.18.10.3412
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterSubsysID: 78171462, AdapterDriverVersion: 10.18.10.3277
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 397717aa, AdapterDriverVersion: 10.18.10.3621
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 391217aa, AdapterDriverVersion: 9.17.10.2963
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterSubsysID: 390417aa, AdapterDriverVersion: 10.18.10.3277
