   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9996
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9838
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9710
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9648
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9480
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6899
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6840
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6819
   4 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6779
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a1e
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0112
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1189
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1055
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc1
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0f02
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0e23
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0dfa
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a60
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0649
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0622
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x05e2
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0427
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0421
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0402
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9647
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9616
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9612
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x954f
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9498
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9490
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68d8
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68b8
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6818
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6738
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22
   2 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0122
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1287
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1284
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x124b
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1245
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1213
   2 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c2
